game_id,date,game_status,home_name,home_id,home_score,away_name,away_id,away_score,venue_full_name,season_id,game_type,is_postseason,month,day,year
262,2026-01-22 00:00:00+00:00,Final 1st OT,Minnesota Frost,2,1,Montréal Victoire,3,2,Grand Casino Arena | St. Paul,8,,,1,22,2026
263,2026-01-23 03:00:00+00:00,Final,Vancouver Goldeneyes,9,5,Toronto Sceptres,6,0,Pacific Coliseum | Vancouver,8,,,1,23,2026
264,2026-01-24 19:00:00+00:00,Final,Montréal Victoire,3,3,Ottawa Charge,5,1,Place Bell | Laval,8,,,1,24,2026
265,2026-01-25 20:00:00+00:00,Final,Minnesota Frost,2,6,New York Sirens,4,2,Grand Casino Arena | St. Paul,8,,,1,25,2026
266,2026-01-25 23:00:00+00:00,Final,Seattle Torrent,8,1,Vancouver Goldeneyes,9,3,Ball Arena | Denver,8,,,1,25,2026
267,2026-01-28 23:30:00+00:00,Final,Montréal Victoire,3,3,Toronto Sceptres,6,0,Place Bell | Laval,8,,,1,28,2026
268,2026-01-29 00:00:00+00:00,Final,Ottawa Charge,5,4,Seattle Torrent,8,2,TD Place | Ottawa,8,,,1,29,2026
269,2026-01-29 00:00:00+00:00,Final SO,Boston Fleet,1,4,New York Sirens,4,3,Tsongas Center | Lowell,8,,,1,29,2026
270,2026-01-29 02:00:00+00:00,Final,Minnesota Frost,2,4,Vancouver Goldeneyes,9,1,Grand Casino Arena | St. Paul,8,,,1,29,2026
271,2026-02-27 00:00:00+00:00,Final,New York Sirens,4,1,Montréal Victoire,3,4,Prudential Center | Newark,8,,,2,27,2026
272,2026-02-28 03:00:00+00:00,Final,Seattle Torrent,8,2,Toronto Sceptres,6,5,Climate Pledge Arena | Seattle,8,,,2,28,2026
273,2026-02-28 19:00:00+00:00,Final SO,Ottawa Charge,5,2,Boston Fleet,1,3,TD Place | Ottawa,8,,,2,28,2026
274,2026-03-01 18:00:00+00:00,Final,Montréal Victoire,3,4,Minnesota Frost,2,0,Place Bell | Laval,8,,,3,1,2026
275,2026-03-01 21:00:00+00:00,Final,Vancouver Goldeneyes,9,1,Toronto Sceptres,6,2,Pacific Coliseum | Vancouver,8,,,3,1,2026
276,2026-03-04 00:00:00+00:00,Final SO,Toronto Sceptres,6,3,Montréal Victoire,3,4,Coca-Cola Coliseum | Toronto,8,,,3,4,2026
277,2026-03-05 00:00:00+00:00,Final,Ottawa Charge,5,4,Seattle Torrent,8,3,TD Place | Ottawa,8,,,3,5,2026
278,2026-03-06 00:00:00+00:00,Final,New York Sirens,4,0,Boston Fleet,1,1,Prudential Center | Newark,8,,,3,6,2026
279,2026-03-08 16:00:00+00:00,Final,New York Sirens,4,6,Ottawa Charge,5,2,Prudential Center | Newark,8,,,3,8,2026
280,2026-03-08 16:00:00+00:00,Final 1st OT,Toronto Sceptres,6,2,Minnesota Frost,2,3,Coca-Cola Coliseum | Toronto,8,,,3,8,2026
281,2026-03-11 02:00:00+00:00,Final 1st OT,Vancouver Goldeneyes,9,1,Boston Fleet,1,2,Pacific Coliseum | Vancouver,8,,,3,11,2026
283,2026-03-12 02:00:00+00:00,Final,Seattle Torrent,8,3,Boston Fleet,1,2,Climate Pledge Arena | Seattle,8,,,3,12,2026
284,2026-03-14 00:00:00+00:00,Final,Minnesota Frost,2,4,Seattle Torrent,8,1,Grand Casino Arena | St. Paul,8,,,3,14,2026
285,2026-03-14 19:00:00+00:00,Final 1st OT,Vancouver Goldeneyes,9,2,Ottawa Charge,5,3,Pacific Coliseum | Vancouver,8,,,3,14,2026
286,2026-03-15 17:00:00+00:00,Final 1st OT,Montréal Victoire,3,3,Boston Fleet,1,4,Place Bell | Laval,8,,,3,15,2026
287,2026-03-15 17:00:00+00:00,Final,Toronto Sceptres,6,2,Seattle Torrent,8,0,Coca-Cola Coliseum | Toronto,8,,,3,15,2026
288,2026-03-15 20:00:00+00:00,Final,Minnesota Frost,2,4,New York Sirens,4,3,Ball Arena | Denver,8,,,3,15,2026
289,2026-03-17 23:00:00+00:00,Final,Boston Fleet,1,0,Toronto Sceptres,6,2,Agganis Arena | Boston,8,,,3,17,2026
290,2026-03-18 23:00:00+00:00,Final,Minnesota Frost,2,5,Ottawa Charge,5,0,Grand Casino Arena | St. Paul,8,,,3,18,2026
