game_id,date,name,short_name,home_name,home_id,home_score,away_name,away_id,away_score,status,venue_full_name,season,is_postseason,month,day,year
609437,2021-10-17 11:00:00+00:00,Nice at Troyes,NICE @ TRY,Troyes,170,1,Nice,2502,0,STATUS_FULL_TIME,Stade de l'Aube,2021-2022,0,10,17,2021
609436,2021-10-17 13:00:00+00:00,Nantes at Bordeaux,NAN @ BOR,Bordeaux,159,1,Nantes,165,1,STATUS_FULL_TIME,Stade Atlantique,2021-2022,0,10,17,2021
609440,2021-10-17 13:00:00+00:00,Stade de Reims at Brest,REIM @ BRE,Brest,6997,1,Stade de Reims,3243,1,STATUS_FULL_TIME,Stade Francis-Le Blé,2021-2022,0,10,17,2021
609439,2021-10-17 13:00:00+00:00,Stade Rennais at Metz,REN @ METZ,Metz,177,0,Stade Rennais,169,3,STATUS_FULL_TIME,Stade Saint-Symphorien,2021-2022,0,10,17,2021
609438,2021-10-17 13:00:00+00:00,Saint-Étienne at Strasbourg,ASSE @ STR,Strasbourg,180,5,Saint-Étienne,178,1,STATUS_FULL_TIME,Stade de la Meinau,2021-2022,0,10,17,2021
609433,2021-10-17 15:00:00+00:00,Lens at Montpellier,RCL @ MON,Montpellier,274,1,Lens,175,0,STATUS_FULL_TIME,Stade de la Mosson,2021-2022,0,10,17,2021
609435,2021-10-17 18:45:00+00:00,Lorient at Marseille,LOR @ OLM,Marseille,176,4,Lorient,273,1,STATUS_FULL_TIME,Orange Vélodrome,2021-2022,0,10,17,2021
609421,2021-10-22 19:00:00+00:00,Angers at Saint-Étienne,ANG @ ASSE,Saint-Étienne,178,2,Angers,7868,2,STATUS_FULL_TIME,Stade Geoffroy-Guichard,2021-2022,0,10,22,2021
609424,2021-10-23 15:00:00+00:00,Clermont Foot at Nantes,CLE @ NAN,Nantes,165,2,Clermont Foot,3171,1,STATUS_FULL_TIME,La Beaujoire-Louis-Fonteneau,2021-2022,0,10,23,2021
609423,2021-10-23 19:00:00+00:00,Brest at Lille,BRE @ LILL,Lille,166,1,Brest,6997,1,STATUS_FULL_TIME,Decathlon Arena - Stade Pierre-Mauroy,2021-2022,0,10,23,2021
609425,2021-10-24 11:00:00+00:00,Lyon at Nice,LYON @ NICE,Nice,2502,3,Lyon,167,2,STATUS_FULL_TIME,Allianz Riviera,2021-2022,0,10,24,2021
609426,2021-10-24 13:00:00+00:00,Metz at Lens,METZ @ RCL,Lens,175,4,Metz,177,1,STATUS_FULL_TIME,Stade Félix Bollaert-Delélis,2021-2022,0,10,24,2021
609422,2021-10-24 13:00:00+00:00,Bordeaux at Lorient,BOR @ LOR,Lorient,273,1,Bordeaux,159,1,STATUS_FULL_TIME,Stade du Moustoir - Yves Allainmat,2021-2022,0,10,24,2021
609430,2021-10-24 13:00:00+00:00,Troyes at Stade de Reims,TRY @ REIM,Stade de Reims,3243,1,Troyes,170,2,STATUS_FULL_TIME,Stade Auguste-Delaune II,2021-2022,0,10,24,2021
609429,2021-10-24 13:00:00+00:00,Strasbourg at Stade Rennais,STR @ REN,Stade Rennais,169,1,Strasbourg,180,0,STATUS_FULL_TIME,Roazhon Park,2021-2022,0,10,24,2021
609427,2021-10-24 15:00:00+00:00,Montpellier at AS Monaco,MON @ MON,AS Monaco,174,3,Montpellier,274,1,STATUS_FULL_TIME,Stade Louis II,2021-2022,0,10,24,2021
609428,2021-10-24 18:45:00+00:00,Paris Saint-Germain at Marseille,PSG @ OLM,Marseille,176,0,Paris Saint-Germain,160,0,STATUS_FULL_TIME,Orange Vélodrome,2021-2022,0,10,24,2021
609506,2021-10-27 19:00:00+00:00,Marseille at Nice,OLM @ NICE,Nice,2502,1,Marseille,176,1,STATUS_FULL_TIME,Stade de l'Aube,2021-2022,0,10,27,2021
609413,2021-10-29 19:00:00+00:00,Lille at Paris Saint-Germain,LILL @ PSG,Paris Saint-Germain,160,2,Lille,166,1,STATUS_FULL_TIME,Parc des Princes,2021-2022,0,10,29,2021
609418,2021-10-30 15:00:00+00:00,Saint-Étienne at Metz,ASSE @ METZ,Metz,177,1,Saint-Étienne,178,1,STATUS_FULL_TIME,Stade Saint-Symphorien,2021-2022,0,10,30,2021
609412,2021-10-30 19:00:00+00:00,Lens at Lyon,RCL @ LYON,Lyon,167,2,Lens,175,1,STATUS_FULL_TIME,Groupama Stadium,2021-2022,0,10,30,2021
609417,2021-10-31 12:00:00+00:00,Nice at Angers,NICE @ ANG,Angers,7868,1,Nice,2502,2,STATUS_FULL_TIME,Stade Raymond Kopa,2021-2022,0,10,31,2021
609414,2021-10-31 14:00:00+00:00,Lorient at Strasbourg,LOR @ STR,Strasbourg,180,4,Lorient,273,0,STATUS_FULL_TIME,Stade de la Meinau,2021-2022,0,10,31,2021
609419,2021-10-31 14:00:00+00:00,Stade Rennais at Troyes,REN @ TRY,Troyes,170,2,Stade Rennais,169,2,STATUS_FULL_TIME,Stade de l'Aube,2021-2022,0,10,31,2021
609416,2021-10-31 14:00:00+00:00,Nantes at Montpellier,NAN @ MON,Montpellier,274,2,Nantes,165,0,STATUS_FULL_TIME,Stade de la Mosson,2021-2022,0,10,31,2021
609420,2021-10-31 14:00:00+00:00,Stade de Reims at Bordeaux,REIM @ BOR,Bordeaux,159,3,Stade de Reims,3243,2,STATUS_FULL_TIME,Stade Atlantique,2021-2022,0,10,31,2021
609411,2021-10-31 16:00:00+00:00,AS Monaco at Brest,MON @ BRE,Brest,6997,2,AS Monaco,174,0,STATUS_FULL_TIME,Stade Francis-Le Blé,2021-2022,0,10,31,2021
609415,2021-10-31 19:45:00+00:00,Marseille at Clermont Foot,OLM @ CLE,Clermont Foot,3171,0,Marseille,176,1,STATUS_FULL_TIME,Stade Gabriel-Montpied,2021-2022,0,10,31,2021
609410,2021-11-05 20:00:00+00:00,Troyes at Lens,TRY @ RCL,Lens,175,4,Troyes,170,0,STATUS_FULL_TIME,Stade Félix Bollaert-Delélis,2021-2022,0,11,5,2021
609402,2021-11-06 16:00:00+00:00,Angers at Lille,ANG @ LILL,Lille,166,1,Angers,7868,1,STATUS_FULL_TIME,Decathlon Arena - Stade Pierre-Mauroy,2021-2022,0,11,6,2021
609408,2021-11-06 20:00:00+00:00,Paris Saint-Germain at Bordeaux,PSG @ BOR,Bordeaux,159,2,Paris Saint-Germain,160,3,STATUS_FULL_TIME,Stade Atlantique,2021-2022,0,11,6,2021
609406,2021-11-07 12:00:00+00:00,Metz at Marseille,METZ @ OLM,Marseille,176,0,Metz,177,0,STATUS_FULL_TIME,Orange Vélodrome,2021-2022,0,11,7,2021
609409,2021-11-07 14:00:00+00:00,Strasbourg at Nantes,STR @ NAN,Nantes,165,2,Strasbourg,180,2,STATUS_FULL_TIME,La Beaujoire-Louis-Fonteneau,2021-2022,0,11,7,2021
609404,2021-11-07 14:00:00+00:00,Clermont Foot at Saint-Étienne,CLE @ ASSE,Saint-Étienne,178,3,Clermont Foot,3171,2,STATUS_FULL_TIME,Stade Geoffroy-Guichard,2021-2022,0,11,7,2021
609401,2021-11-07 14:00:00+00:00,AS Monaco at Stade de Reims,MON @ REIM,Stade de Reims,3243,0,AS Monaco,174,0,STATUS_FULL_TIME,Stade Auguste-Delaune II,2021-2022,0,11,7,2021
609403,2021-11-07 14:00:00+00:00,Brest at Lorient,BRE @ LOR,Lorient,273,1,Brest,6997,2,STATUS_FULL_TIME,Stade du Moustoir - Yves Allainmat,2021-2022,0,11,7,2021
609407,2021-11-07 16:00:00+00:00,Montpellier at Nice,MON @ NICE,Nice,2502,0,Montpellier,274,1,STATUS_FULL_TIME,Allianz Riviera,2021-2022,0,11,7,2021
609405,2021-11-07 19:45:00+00:00,Lyon at Stade Rennais,LYON @ REN,Stade Rennais,169,4,Lyon,167,1,STATUS_FULL_TIME,Roazhon Park,2021-2022,0,11,7,2021
609393,2021-11-19 20:00:00+00:00,Lille at AS Monaco,LILL @ MON,AS Monaco,174,2,Lille,166,2,STATUS_FULL_TIME,Stade Louis II,2021-2022,0,11,19,2021
609397,2021-11-20 16:00:00+00:00,Nantes at Paris Saint-Germain,NAN @ PSG,Paris Saint-Germain,160,3,Nantes,165,1,STATUS_FULL_TIME,Parc des Princes,2021-2022,0,11,20,2021
609396,2021-11-20 20:00:00+00:00,Montpellier at Stade Rennais,MON @ REN,Stade Rennais,169,2,Montpellier,274,0,STATUS_FULL_TIME,Roazhon Park,2021-2022,0,11,20,2021
609392,2021-11-21 12:00:00+00:00,Lens at Brest,RCL @ BRE,Brest,6997,4,Lens,175,0,STATUS_FULL_TIME,Stade Francis-Le Blé,2021-2022,0,11,21,2021
609394,2021-11-21 14:00:00+00:00,Lorient at Angers,LOR @ ANG,Angers,7868,1,Lorient,273,0,STATUS_FULL_TIME,Stade Raymond Kopa,2021-2022,0,11,21,2021
609391,2021-11-21 14:00:00+00:00,Bordeaux at Metz,BOR @ METZ,Metz,177,3,Bordeaux,159,3,STATUS_FULL_TIME,Stade Saint-Symphorien,2021-2022,0,11,21,2021
609400,2021-11-21 14:00:00+00:00,Stade de Reims at Strasbourg,REIM @ STR,Strasbourg,180,1,Stade de Reims,3243,1,STATUS_FULL_TIME,Stade de la Meinau,2021-2022,0,11,21,2021
609399,2021-11-21 14:00:00+00:00,Saint-Étienne at Troyes,ASSE @ TRY,Troyes,170,0,Saint-Étienne,178,1,STATUS_FULL_TIME,Stade de l'Aube,2021-2022,0,11,21,2021
609398,2021-11-21 16:00:00+00:00,Nice at Clermont Foot,NICE @ CLE,Clermont Foot,3171,1,Nice,2502,2,STATUS_FULL_TIME,Stade Gabriel-Montpied,2021-2022,0,11,21,2021
609381,2021-11-26 20:00:00+00:00,Angers at Lens,ANG @ RCL,Lens,175,2,Angers,7868,2,STATUS_FULL_TIME,Stade Félix Bollaert-Delélis,2021-2022,0,11,26,2021
609386,2021-11-27 16:00:00+00:00,Nantes at Lille,NAN @ LILL,Lille,166,1,Nantes,165,1,STATUS_FULL_TIME,Decathlon Arena - Stade Pierre-Mauroy,2021-2022,0,11,27,2021
609385,2021-11-27 20:00:00+00:00,Metz at Nice,METZ @ NICE,Nice,2502,0,Metz,177,1,STATUS_FULL_TIME,Allianz Riviera,2021-2022,0,11,27,2021
609387,2021-11-28 12:00:00+00:00,Paris Saint-Germain at Saint-Étienne,PSG @ ASSE,Saint-Étienne,178,1,Paris Saint-Germain,160,3,STATUS_FULL_TIME,Stade Geoffroy-Guichard,2021-2022,0,11,28,2021
609389,2021-11-28 14:00:00+00:00,Strasbourg at AS Monaco,STR @ MON,AS Monaco,174,1,Strasbourg,180,1,STATUS_FULL_TIME,Stade Louis II,2021-2022,0,11,28,2021
609382,2021-11-28 14:00:00+00:00,Brest at Bordeaux,BRE @ BOR,Bordeaux,159,1,Brest,6997,2,STATUS_FULL_TIME,Stade Atlantique,2021-2022,0,11,28,2021
609388,2021-11-28 14:00:00+00:00,Stade Rennais at Lorient,REN @ LOR,Lorient,273,0,Stade Rennais,169,2,STATUS_FULL_TIME,Stade du Moustoir - Yves Allainmat,2021-2022,0,11,28,2021
609383,2021-11-28 14:00:00+00:00,Clermont Foot at Stade de Reims,CLE @ REIM,Stade de Reims,3243,1,Clermont Foot,3171,0,STATUS_FULL_TIME,Stade Auguste-Delaune II,2021-2022,0,11,28,2021
609384,2021-11-28 16:00:00+00:00,Lyon at Montpellier,LYON @ MON,Montpellier,274,0,Lyon,167,1,STATUS_FULL_TIME,Stade de la Mosson,2021-2022,0,11,28,2021
609390,2021-11-28 19:45:00+00:00,Troyes at Marseille,TRY @ OLM,Marseille,176,1,Troyes,170,0,STATUS_FULL_TIME,Orange Vélodrome,2021-2022,0,11,28,2021
609371,2021-12-01 18:00:00+00:00,AS Monaco at Angers,MON @ ANG,Angers,7868,1,AS Monaco,174,3,STATUS_FULL_TIME,Stade Raymond Kopa,2021-2022,0,12,1,2021
609379,2021-12-01 18:00:00+00:00,Saint-Étienne at Brest,ASSE @ BRE,Brest,6997,1,Saint-Étienne,178,0,STATUS_FULL_TIME,Stade Francis-Le Blé,2021-2022,0,12,1,2021
609377,2021-12-01 18:00:00+00:00,Montpellier at Metz,MON @ METZ,Metz,177,1,Montpellier,274,3,STATUS_FULL_TIME,Stade Saint-Symphorien,2021-2022,0,12,1,2021
609372,2021-12-01 18:00:00+00:00,Bordeaux at Strasbourg,BOR @ STR,Strasbourg,180,5,Bordeaux,159,2,STATUS_FULL_TIME,Stade de la Meinau,2021-2022,0,12,1,2021
609375,2021-12-01 18:00:00+00:00,Lorient at Troyes,LOR @ TRY,Troyes,170,2,Lorient,273,0,STATUS_FULL_TIME,Stade de l'Aube,2021-2022,0,12,1,2021
609374,2021-12-01 20:00:00+00:00,Lille at Stade Rennais,LILL @ REN,Stade Rennais,169,1,Lille,166,2,STATUS_FULL_TIME,Roazhon Park,2021-2022,0,12,1,2021
609376,2021-12-01 20:00:00+00:00,Marseille at Nantes,OLM @ NAN,Nantes,165,0,Marseille,176,1,STATUS_FULL_TIME,La Beaujoire-Louis-Fonteneau,2021-2022,0,12,1,2021
609380,2021-12-01 20:00:00+00:00,Stade de Reims at Lyon,REIM @ LYON,Lyon,167,1,Stade de Reims,3243,2,STATUS_FULL_TIME,Groupama Stadium,2021-2022,0,12,1,2021
609373,2021-12-01 20:00:00+00:00,Lens at Clermont Foot,RCL @ CLE,Clermont Foot,3171,2,Lens,175,2,STATUS_FULL_TIME,Stade Gabriel-Montpied,2021-2022,0,12,1,2021
